Year,Month_of_Year,Day_of_Week,Time_of_Day,Lignite_Gen(MW),FossilGas_Gen(MW),Solar_Gen(MW),Wind_Gen(MW),Total_Load(MW),Import_Export(MW)
2017,1,7,1,2072.0,1834.0,0,940.0,5003.0,157.0
2017,1,7,2,2691.0,903.0,0,472.0,5142.0,1076.0
2017,1,7,3,1945.0,136.0,0,547.0,4920.0,2292.0
2017,1,7,4,1328.0,1670.0,0,506.0,4568.0,1064.0
2017,1,7,5,1330.0,1514.0,0,373.0,4493.0,1276.0
2017,1,7,6,1277.0,1784.0,0,328.0,4986.0,1597.0
2017,1,7,7,1238.0,1767.0,0,510.0,5700.0,2185.0
2017,1,7,8,1593.0,1990.0,228.0,126.0,5452.0,1515.0
2017,1,7,9,1847.0,1155.0,543.0,311.0,6055.0,2199.0
2017,1,7,10,2188.0,2403.0,625.0,177.0,6350.0,957.0
2017,1,7,11,1871.0,2640.0,1123.0,726.0,6697.0,337.0
2017,1,7,12,1536.0,1967.0,695.0,244.0,6810.0,2368.0
2017,1,7,13,2083.0,1651.0,1102.0,421.0,6284.0,1027.0
2017,1,7,14,2287.0,2040.0,605.0,65.0,6638.0,1641.0
2017,1,7,15,1570.0,3258.0,380.0,63.0,6593.0,1322.0
2017,1,7,16,1750.0,2860.0,241.0,118.0,7269.0,2300.0
2017,1,7,17,1445.0,2562.0,10.0,730.0,6485.0,1738.0
2017,1,7,18,2233.0,2512.0,0,604.0,7144.0,1795.0
2017,1,7,19,2161.0,3672.0,0,354.0,7375.0,1188.0
2017,1,7,20,2227.0,3324.0,0,657.0,7470.0,1262.0
2017,1,7,21,2248.0,3448.0,0,261.0,7032.0,1075.0
2017,1,7,22,1301.0,2996.0,0,117.0,6862.0,2448.0
2017,1,7,23,2378.0,2651.0,0,716.0,5747.0,2.0
2017,1,7,24,1144.0,1534.0,0,491.0,5765.0,2596.0
2017,1,1,1,1180.0,1561.0,0,144.0,5048.0,2163.0
2017,1,1,2,1524.0,1532.0,0,1282.0,5153.0,815.0
2017,1,1,3,1781.0,1865.0,0,698.0,4488.0,144.0
2017,1,1,4,1946.0,949.0,0,284.0,4496.0,1317.0
2017,1,1,5,1956.0,1867.0,0,299.0,5283.0,1161.0
2017,1,1,6,1334.0,1380.0,0,1006.0,5344.0,1624.0
2017,1,1,7,1703.0,755.0,0,290.0,6454.0,3706.0
2017,1,1,8,1839.0,1045.0,118.0,710.0,7398.0,3686.0
2017,1,1,9,2432.0,3105.0,171.0,717.0,8724.0,2299.0
2017,1,1,10,1597.0,3528.0,1213.0,308.0,7032.0,386.0
2017,1,1,11,1880.0,2735.0,683.0,515.0,7655.0,1842.0
2017,1,1,12,2011.0,2738.0,481.0,115.0,7269.0,1924.0
2017,1,1,13,1590.0,3728.0,965.0,640.0,5670.0,-1253.0
2017,1,1,14,1224.0,3124.0,1090.0,908.0,6777.0,431.0
2017,1,1,15,1179.0,3786.0,154.0,115.0,7230.0,1996.0
2017,1,1,16,1563.0,2437.0,105.0,1041.0,6850.0,1704.0
2017,1,1,17,2568.0,4375.0,17.0,86.0,7085.0,39.0
2017,1,1,18,1378.0,4242.0,0,671.0,7938.0,1647.0
2017,1,1,19,2299.0,4306.0,0,1379.0,8021.0,37.0
2017,1,1,20,1661.0,4088.0,0,1357.0,7920.0,814.0
2017,1,1,21,2083.0,2838.0,0,951.0,7668.0,1796.0
2017,1,1,22,1404.0,3505.0,0,812.0,6596.0,875.0
2017,1,1,23,2325.0,2895.0,0,203.0,6449.0,1026.0
2017,1,1,24,1846.0,2559.0,0,818.0,6575.0,1352.0
2017,1,2,1,1774.0,2115.0,0,542.0,4514.0,83.0
2017,1,2,2,2219.0,1806.0,0,769.0,5338.0,544.0
2017,1,2,3,1204.0,1550.0,0,410.0,5028.0,1864.0
2017,1,2,4,1733.0,1825.0,0,769.0,4923.0,596.0
2017,1,2,5,1682.0,2056.0,0,695.0,5135.0,702.0
2017,1,2,6,2366.0,1189.0,0,636.0,5370.0,1179.0
2017,1,2,7,1783.0,2203.0,24.0,532.0,6726.0,2184.0
2017,1,2,8,2544.0,3270.0,46.0,679.0,7102.0,563.0
2017,1,2,9,2297.0,2509.0,517.0,1397.0,8559.0,1839.0
2017,1,2,10,2381.0,2632.0,549.0,918.0,7402.0,922.0
2017,1,2,11,2680.0,3747.0,420.0,367.0,6801.0,-413.0
2017,1,2,12,1504.0,2259.0,1343.0,875.0,7433.0,1452.0
2017,1,2,13,1318.0,4042.0,517.0,504.0,7272.0,891.0
2017,1,2,14,1378.0,2184.0,1079.0,773.0,6137.0,723.0
2017,1,2,15,1781.0,2492.0,338.0,1091.0,6592.0,890.0
2017,1,2,16,2491.0,3848.0,225.0,856.0,6995.0,-425.0
2017,1,2,17,2691.0,4018.0,21.0,835.0,8550.0,985.0
2017,1,2,18,1428.0,3510.0,0,853.0,7452.0,1661.0
2017,1,2,19,2006.0,2569.0,0,1645.0,8559.0,2339.0
2017,1,2,20,2022.0,4265.0,0,1101.0,9291.0,1903.0
2017,1,2,21,2059.0,3116.0,0,1178.0,7131.0,778.0
2017,1,2,22,2054.0,2959.0,0,928.0,6833.0,892.0
2017,1,2,23,1433.0,2188.0,0,1168.0,6142.0,1353.0
2017,1,2,24,1753.0,2404.0,0,1198.0,5709.0,354.0
2017,1,3,1,2141.0,1075.0,0,425.0,5624.0,1983.0
2017,1,3,2,2209.0,679.0,0,396.0,6183.0,2899.0
2017,1,3,3,1503.0,1010.0,0,716.0,4693.0,1464.0
2017,1,3,4,1909.0,1302.0,0,214.0,4936.0,1511.0
2017,1,3,5,1789.0,2099.0,0,832.0,4968.0,248.0
2017,1,3,6,1356.0,1013.0,0,281.0,4631.0,1981.0
2017,1,3,7,1789.0,1762.0,0,1336.0,6087.0,1200.0
2017,1,3,8,2148.0,2426.0,148.0,299.0,7484.0,2463.0
2017,1,3,9,1952.0,2706.0,460.0,306.0,6932.0,1508.0
2017,1,3,10,2538.0,3075.0,900.0,271.0,7187.0,403.0
2017,1,3,11,1666.0,1455.0,1014.0,1342.0,9128.0,3651.0
2017,1,3,12,1357.0,2771.0,1088.0,1207.0,7695.0,1272.0
2017,1,3,13,2500.0,3365.0,1587.0,159.0,6326.0,-1285.0
2017,1,3,14,1899.0,2098.0,1083.0,1242.0,6876.0,554.0
2017,1,3,15,2545.0,2527.0,187.0,558.0,7111.0,1294.0
2017,1,3,16,1504.0,2278.0,213.0,1595.0,5812.0,222.0
2017,1,3,17,2308.0,3180.0,30.0,1379.0,7277.0,380.0
2017,1,3,18,1977.0,4154.0,0,118.0,7510.0,1261.0
2017,1,3,19,2428.0,1669.0,0,685.0,8614.0,3832.0
2017,1,3,20,1897.0,3482.0,0,1374.0,7791.0,1038.0
2017,1,3,21,1813.0,3391.0,0,1216.0,7804.0,1384.0
2017,1,3,22,2405.0,3408.0,0,953.0,7411.0,645.0
